date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,25.08,26.0499,24.9714,25.2143,46524275,6646325,0.471429,1.905,25.6022,"Apr 15, 13",0
2013-04-16,24.9957,25.39,24.61,25.1214,29708945,4244135,-0.092858,-0.368,25.0422,"Apr 16, 13",-0.0036844171759676135
2013-04-17,24.9057,25.3414,24.0385,24.1943,27543747,3934821,-0.927141,-3.691,24.6,"Apr 17, 13",-0.04045323487068858
2013-04-18,24.4285,24.5571,23.1143,23.4028,23109254,3301322,-0.791428,-3.271,23.7566,"Apr 18, 13",-0.07184415192965905
2013-04-19,23.6428,24.1671,23.29,23.3385,20157452,2879636,-0.064286,-0.275,23.6964,"Apr 19, 13",-0.07439429212787987
2013-04-22,23.6743,25.2143,23.6743,24.91,83741056,11963008,1.5714,6.733,26.0807,"Apr 22, 13",-0.012068548403088776
2013-04-23,30.7957,31.34,29.93,30.9985,114777621,16396803,6.0886,24.442,30.7692,"Apr 23, 13",0.22940156974415304
2013-04-24,31.0857,32.0428,30.46,30.96,46890739,6698677,-0.038571,-0.124,31.1629,"Apr 24, 13",0.22787465842795554
2013-04-25,30.9971,31.2557,30.4671,30.5357,29270563,4181509,-0.424285,-1.37,30.8098,"Apr 25, 13",0.21104690592243278
2013-04-26,31,31.0185,30.36,30.7928,21777385,3111055,0.257142,0.842,30.6877,"Apr 26, 13",0.22124350071189752
2013-04-29,30.9443,31.1043,30.2871,30.7161,20785107,2969301,-0.076714,-0.249,30.7554,"Apr 29, 13",0.21820157608975854
2013-04-30,30.6571,31.3928,30.6057,30.8671,25070199,3581457,0.151,0.492,31.0035,"Apr 30, 13",0.22419024125198792
2013-05-01,30.8457,31.0555,30.2357,30.4157,18358578,2622654,-0.451428,-1.462,30.5594,"May 1, 13",0.20628770181999895
2013-05-02,30.4628,30.7785,30.0271,30.6414,18327099,2618157,0.225714,0.742,30.501,"May 2, 13",0.21523897153599342
2013-05-03,30.8257,31.1757,30.3857,30.4928,15431423,2204489,-0.148571,-0.485,30.6441,"May 3, 13",0.20934549045581266
2013-05-06,29.9471,30.35,29.1457,30.0985,31730426,4532918,-0.394286,-1.293,29.9181,"May 6, 13",0.19370753897589857
2013-05-07,29.8257,30.0743,29.3714,29.4643,17071985,2438855,-0.634285,-2.107,29.6162,"May 7, 13",0.16855514529453525
2013-05-08,29.2757,30.0571,29.2185,29.8014,17622528,2517504,0.337143,1.144,29.7758,"May 8, 13",0.18192454281895587
2013-05-09,29.7185,31.2685,29.5028,30.9157,36105776,5157968,1.1143,3.739,30.5154,"May 9, 13",0.22611771891347368
2013-05-10,30.9157,31.3928,30.6514,31.0991,18844490,2692070,0.183429,0.593,31.0254,"May 10, 13",0.23339136918336018
2013-05-13,31.0243,32.8128,31.02,32.7684,41342742,5906106,1.6693,5.368,32.4148,"May 13, 13",0.2995958642516349
2013-05-14,33.1414,33.7985,32.9714,33.4243,38516681,5502383,0.655856,2.001,33.4127,"May 14, 13",0.32560888067485516
2013-05-15,34.21,35.0614,33.9757,34.7714,36027936,5146848,1.3471,4.03,34.6464,"May 15, 13",0.3790349127280947
2013-05-16,35.2785,35.55,33.6,33.8614,28051415,4007345,-0.909999,-2.617,34.3411,"May 16, 13",0.3429442816179708
2013-05-17,34.0757,34.6785,33.7143,34.1428,20132070,2876010,0.281428,0.831,34.1504,"May 17, 13",0.3541046152381783
2013-05-20,34.0628,34.5214,33.8228,34.2214,14763980,2109140,0.078571,0.23,34.2124,"May 20, 13",0.3572218939252726
2013-05-21,34.2914,34.4143,33.5714,33.87,11490584,1641512,-0.351428,-1.027,33.8976,"May 21, 13",0.34328535791197834
2013-05-22,33.4857,34.0285,32.3771,32.6514,21766640,3109520,-1.2186,-3.598,33.2012,"May 22, 13",0.2949556402517619
2013-05-23,32.2428,32.6,31.65,32.3114,16197202,2313886,-0.34,-1.041,32.1665,"May 23, 13",0.28147122862819896
2013-05-24,32.1757,32.7143,32.0714,32.6771,11807299,1686757,0.365714,1.132,32.3666,"May 24, 13",0.29597490313036656
2013-05-28,33.1071,33.7085,30.425,30.5985,39373005,5624715,-2.0786,-6.361,31.3604,"May 28, 13",0.2135375560693733
2013-05-29,30.65,31.6257,29.9871,30.7628,34097973,4871139,0.164285,0.537,30.7291,"May 29, 13",0.220053699686289
2013-05-30,30.8614,31.8571,30.2214,31.8085,24082716,3440388,1.0457,3.399,31.1775,"May 30, 13",0.2615261974355821
2013-05-31,32.1771,32.7971,32.0071,32.3214,25415089,3630727,0.512856,1.612,32.4047,"May 31, 13",0.2818678289700684
2013-06-03,32.4357,32.5,31.0814,31.71,21270389,3038627,-0.611428,-1.892,31.636,"Jun 3, 13",0.25761968406816765
